date,downloads, data
2015-02-27,212218,1.97568
2015-02-28,148092,1.32557
2015-03-01,125364,1.24107
2015-03-02,17934,0.176597
2015-03-03,197193,1.8704
2015-03-04,225474,2.1074
2015-03-05,225536,2.16771
2015-03-06,227086,2.02557
2015-03-07,144380,1.28945
2015-03-08,135779,1.24214
2015-03-09,219038,2.06483
2015-03-10,235651,2.22416
2015-03-11,243520,2.33436
2015-03-12,263775,2.45649
2015-03-13,230459,2.11515
2015-03-14,143285,1.29839
2015-03-15,136022,1.25751
2015-03-16,244599,2.18421
2015-03-17,250953,2.29084
2015-03-18,253945,2.30209
2015-03-19,251477,2.36208
2015-03-20,245311,2.23288
2015-03-21,143516,1.30463
2015-03-22,137093,1.2744
2015-03-23,249129,2.28771
2015-03-24,280860,2.50923
2015-03-25,274193,2.55679
2015-03-26,295603,2.72153
2015-03-27,259407,2.38097
2015-03-28,162945,1.56167
2015-03-29,138082,1.28857
2015-03-30,252951,2.35633
2015-03-31,278114,2.59696
2015-04-01,270749,2.51337
2015-04-02,261795,2.39756
2015-04-03,212238,1.95347
2015-04-04,140080,1.25697
2015-04-05,137152,1.18973
2015-04-06,199717,1.85995
2015-04-07,254910,2.29212
2015-04-08,244996,2.27034
2015-04-09,244766,2.23644
2015-04-10,235848,2.13579
2015-04-11,127147,1.12271
2015-04-12,117948,1.04536
2015-04-13,229596,2.07701
2015-04-14,245880,2.27989
2015-04-15,245691,2.24043
2015-04-16,243735,2.26799
2015-04-17,226096,2.07427
2015-04-18,126344,1.09757
2015-04-19,136043,1.15412
2015-04-20,248609,2.2438
2015-04-21,252853,2.33491
2015-04-22,280185,2.46625
2015-04-23,315946,2.61776
2015-04-24,277625,2.3683
2015-04-25,220040,1.62983
2015-04-26,174455,1.36335
2015-04-27,333752,2.74389
2015-04-28,301413,2.5743
2015-04-29,307930,2.60496
2015-04-30,301171,2.56276
2015-05-01,244157,2.05506
2015-05-02,175912,1.3896
2015-05-03,163518,1.3386
2015-05-04,272441,2.31002
2015-05-05,293251,2.45926
2015-05-06,322770,2.64063
2015-05-07,333866,2.76479
2015-05-08,310257,2.52933
2015-05-09,212529,1.56976
2015-05-10,26980,0.201352
2015-05-11,312636,2.44563
2015-05-12,373542,2.92039
2015-05-13,342275,2.70775
2015-05-14,321343,2.55894
2015-05-15,296144,2.40569
2015-05-16,228615,1.63993
2015-05-17,249545,1.74641
2015-05-18,363625,2.81936
2015-05-19,332565,2.68638
2015-05-20,319723,2.65214
2015-05-21,328135,2.71698
2015-05-22,304081,2.43061
2015-05-23,209147,1.44007
2015-05-24,189610,1.34338
2015-05-25,262343,1.92732
2015-05-26,320643,2.5178
2015-05-27,328462,2.66684
2015-05-28,319907,2.65309
2015-05-29,340233,2.66584
2015-05-30,240045,1.69704
2015-05-31,275954,1.86804
2015-06-01,240569,1.72646
2015-06-02,332587,2.56347
2015-06-03,404256,3.07912
2015-06-04,440453,3.35213
2015-06-05,393511,3.0148
2015-06-06,281869,1.89923
2015-06-07,273935,1.83847
2015-06-08,374462,2.90555
2015-06-09,376120,2.98134
2015-06-10,379091,3.00091
2015-06-11,356759,2.84673
2015-06-12,333551,2.71156
2015-06-13,195871,1.48978
2015-06-14,195059,1.46784
2015-06-15,327500,2.73325
2015-06-16,330806,2.77906
2015-06-17,331169,2.79467
2015-06-18,336994,2.81237
2015-06-19,302780,2.53337
2015-06-20,201681,1.52535
2015-06-21,191050,1.44903
2015-06-22,304668,2.60858
2015-06-23,346918,2.86498
2015-06-24,353801,2.93609
2015-06-25,309703,2.64576
2015-06-26,257828,2.34728
2015-06-27,148511,1.21578
2015-06-28,209356,1.16057
2015-06-29,31524,0.176414
2015-06-30,247696,2.36202
2015-07-01,283723,2.57095
2015-07-02,259574,2.44254
2015-07-03,211225,1.90562
2015-07-04,158696,1.14971
2015-07-05,166488,1.11304
2015-07-06,282177,2.44429
2015-07-07,294210,2.62756
2015-07-08,295436,2.69955
2015-07-09,286185,2.66229
2015-07-10,289549,2.49775
2015-07-11,171610,1.25532
2015-07-12,148080,1.19834
2015-07-13,286503,2.50995
2015-07-14,297435,2.64841
2015-07-15,297790,2.74083
2015-07-16,303944,2.73596
2015-07-17,266196,2.49278
2015-07-18,141490,1.26182
2015-07-19,137854,1.23509
2015-07-20,163161,1.50399
2015-07-21,313438,2.88424
2015-07-22,313762,2.86268
2015-07-23,294750,2.7372
2015-07-24,270955,2.52995
2015-07-25,161433,1.35297
2015-07-26,150641,1.24381
2015-07-27,287002,2.6738
2015-07-28,313333,2.91887
2015-07-29,315958,2.95768
2015-07-30,323756,3.06851
2015-07-31,279090,2.65642
2015-08-01,163419,1.35624
2015-08-02,151115,1.3568
2015-08-03,286230,2.74589
2015-08-04,314249,2.99743
2015-08-05,300033,2.96836
